antecedents,consequents,support,confidence,lift,leverage,conviction,antecedent_len,consequent_len,combo_len
"frozenset({'RECEIVE', 'ACCESS_NETWORK_STATE'})",frozenset({'BIND_GET_INSTALL_REFERRER_SERVICE'}),0.6309523809523809,0.8688524590163934,1.3269746646795826,0.15547052154195012,2.6324404761904754,2,1,3
frozenset({'RECEIVE'}),"frozenset({'BIND_GET_INSTALL_REFERRER_SERVICE', 'ACCESS_NETWORK_STATE'})",0.6309523809523809,0.8688524590163934,1.3269746646795826,0.15547052154195012,2.6324404761904754,1,2,3
"frozenset({'BIND_GET_INSTALL_REFERRER_SERVICE', 'WAKE_LOCK'})","frozenset({'RECEIVE', 'INTERNET'})",0.6190476190476191,0.9629629629629629,1.326047358834244,0.15221088435374153,7.392857142857133,2,2,4
frozenset({'RECEIVE'}),"frozenset({'BIND_GET_INSTALL_REFERRER_SERVICE', 'WAKE_LOCK'})",0.6190476190476191,0.8524590163934427,1.326047358834244,0.15221088435374153,2.4206349206349214,1,2,3
"frozenset({'RECEIVE', 'INTERNET'})","frozenset({'BIND_GET_INSTALL_REFERRER_SERVICE', 'WAKE_LOCK'})",0.6190476190476191,0.8524590163934427,1.326047358834244,0.15221088435374153,2.4206349206349214,2,2,4
"frozenset({'BIND_GET_INSTALL_REFERRER_SERVICE', 'WAKE_LOCK', 'INTERNET'})",frozenset({'RECEIVE'}),0.6190476190476191,0.9629629629629629,1.326047358834244,0.15221088435374153,7.392857142857133,3,1,4
"frozenset({'BIND_GET_INSTALL_REFERRER_SERVICE', 'WAKE_LOCK', 'ACCESS_NETWORK_STATE'})","frozenset({'RECEIVE', 'INTERNET'})",0.6190476190476191,0.9629629629629629,1.326047358834244,0.15221088435374153,7.392857142857133,3,2,5
"frozenset({'BIND_GET_INSTALL_REFERRER_SERVICE', 'WAKE_LOCK'})","frozenset({'RECEIVE', 'ACCESS_NETWORK_STATE'})",0.6190476190476191,0.9629629629629629,1.326047358834244,0.15221088435374153,7.392857142857133,2,2,4
"frozenset({'BIND_GET_INSTALL_REFERRER_SERVICE', 'WAKE_LOCK', 'INTERNET'})","frozenset({'RECEIVE', 'ACCESS_NETWORK_STATE'})",0.6190476190476191,0.9629629629629629,1.326047358834244,0.15221088435374153,7.392857142857133,3,2,5
frozenset({'RECEIVE'}),"frozenset({'BIND_GET_INSTALL_REFERRER_SERVICE', 'WAKE_LOCK', 'ACCESS_NETWORK_STATE'})",0.6190476190476191,0.8524590163934427,1.326047358834244,0.15221088435374153,2.4206349206349214,1,3,4
"frozenset({'RECEIVE', 'ACCESS_NETWORK_STATE', 'INTERNET'})","frozenset({'BIND_GET_INSTALL_REFERRER_SERVICE', 'WAKE_LOCK'})",0.6190476190476191,0.8524590163934427,1.326047358834244,0.15221088435374153,2.4206349206349214,3,2,5
"frozenset({'BIND_GET_INSTALL_REFERRER_SERVICE', 'WAKE_LOCK', 'ACCESS_NETWORK_STATE', 'INTERNET'})",frozenset({'RECEIVE'}),0.6190476190476191,0.9629629629629629,1.326047358834244,0.15221088435374153,7.392857142857133,4,1,5
frozenset({'RECEIVE'}),"frozenset({'BIND_GET_INSTALL_REFERRER_SERVICE', 'WAKE_LOCK', 'ACCESS_NETWORK_STATE', 'INTERNET'})",0.6190476190476191,0.8524590163934427,1.326047358834244,0.15221088435374153,2.4206349206349214,1,4,5
"frozenset({'BIND_GET_INSTALL_REFERRER_SERVICE', 'WAKE_LOCK', 'ACCESS_NETWORK_STATE'})",frozenset({'RECEIVE'}),0.6190476190476191,0.9629629629629629,1.326047358834244,0.15221088435374153,7.392857142857133,3,1,4
"frozenset({'BIND_GET_INSTALL_REFERRER_SERVICE', 'WAKE_LOCK'})","frozenset({'RECEIVE', 'ACCESS_NETWORK_STATE', 'INTERNET'})",0.6190476190476191,0.9629629629629629,1.326047358834244,0.15221088435374153,7.392857142857133,2,3,5
frozenset({'RECEIVE'}),"frozenset({'BIND_GET_INSTALL_REFERRER_SERVICE', 'WAKE_LOCK', 'INTERNET'})",0.6190476190476191,0.8524590163934427,1.326047358834244,0.15221088435374153,2.4206349206349214,1,3,4
"frozenset({'RECEIVE', 'ACCESS_NETWORK_STATE'})","frozenset({'BIND_GET_INSTALL_REFERRER_SERVICE', 'WAKE_LOCK', 'INTERNET'})",0.6190476190476191,0.8524590163934427,1.326047358834244,0.15221088435374153,2.4206349206349214,2,3,5
"frozenset({'BIND_GET_INSTALL_REFERRER_SERVICE', 'WAKE_LOCK'})",frozenset({'RECEIVE'}),0.6190476190476191,0.9629629629629629,1.326047358834244,0.15221088435374153,7.392857142857133,2,1,3
"frozenset({'RECEIVE', 'INTERNET'})","frozenset({'BIND_GET_INSTALL_REFERRER_SERVICE', 'WAKE_LOCK', 'ACCESS_NETWORK_STATE'})",0.6190476190476191,0.8524590163934427,1.326047358834244,0.15221088435374153,2.4206349206349214,2,3,5
"frozenset({'RECEIVE', 'ACCESS_NETWORK_STATE'})","frozenset({'BIND_GET_INSTALL_REFERRER_SERVICE', 'WAKE_LOCK'})",0.6190476190476191,0.8524590163934427,1.326047358834244,0.15221088435374153,2.4206349206349214,2,2,4
frozenset({'BIND_GET_INSTALL_REFERRER_SERVICE'}),frozenset({'WAKE_LOCK'}),0.6428571428571429,0.9818181818181819,1.0573426573426574,0.03486394557823136,3.9285714285714497,1,1,2
frozenset({'BIND_GET_INSTALL_REFERRER_SERVICE'}),"frozenset({'WAKE_LOCK', 'ACCESS_NETWORK_STATE'})",0.6428571428571429,0.9818181818181819,1.0573426573426574,0.03486394557823136,3.9285714285714497,1,2,3
"frozenset({'BIND_GET_INSTALL_REFERRER_SERVICE', 'INTERNET'})",frozenset({'WAKE_LOCK'}),0.6428571428571429,0.9818181818181819,1.0573426573426574,0.03486394557823136,3.9285714285714497,2,1,3
"frozenset({'BIND_GET_INSTALL_REFERRER_SERVICE', 'INTERNET'})","frozenset({'WAKE_LOCK', 'ACCESS_NETWORK_STATE'})",0.6428571428571429,0.9818181818181819,1.0573426573426574,0.03486394557823136,3.9285714285714497,2,2,4
"frozenset({'BIND_GET_INSTALL_REFERRER_SERVICE', 'ACCESS_NETWORK_STATE'})","frozenset({'WAKE_LOCK', 'INTERNET'})",0.6428571428571429,0.9818181818181819,1.0573426573426574,0.03486394557823136,3.9285714285714497,2,2,4
"frozenset({'BIND_GET_INSTALL_REFERRER_SERVICE', 'ACCESS_NETWORK_STATE', 'INTERNET'})",frozenset({'WAKE_LOCK'}),0.6428571428571429,0.9818181818181819,1.0573426573426574,0.03486394557823136,3.9285714285714497,3,1,4
"frozenset({'BIND_GET_INSTALL_REFERRER_SERVICE', 'ACCESS_NETWORK_STATE'})",frozenset({'WAKE_LOCK'}),0.6428571428571429,0.9818181818181819,1.0573426573426574,0.03486394557823136,3.9285714285714497,2,1,3
frozenset({'BIND_GET_INSTALL_REFERRER_SERVICE'}),"frozenset({'WAKE_LOCK', 'INTERNET'})",0.6428571428571429,0.9818181818181819,1.0573426573426574,0.03486394557823136,3.9285714285714497,1,2,3
frozenset({'BIND_GET_INSTALL_REFERRER_SERVICE'}),"frozenset({'WAKE_LOCK', 'ACCESS_NETWORK_STATE', 'INTERNET'})",0.6428571428571429,0.9818181818181819,1.0573426573426574,0.03486394557823136,3.9285714285714497,1,3,4
"frozenset({'BIND_GET_INSTALL_REFERRER_SERVICE', 'RECEIVE', 'ACCESS_NETWORK_STATE'})",frozenset({'WAKE_LOCK'}),0.6190476190476191,0.9811320754716982,1.0566037735849056,0.03316326530612246,3.7857142857143073,3,1,4
"frozenset({'BIND_GET_INSTALL_REFERRER_SERVICE', 'RECEIVE', 'ACCESS_NETWORK_STATE', 'INTERNET'})",frozenset({'WAKE_LOCK'}),0.6190476190476191,0.9811320754716982,1.0566037735849056,0.03316326530612246,3.7857142857143073,4,1,5
"frozenset({'BIND_GET_INSTALL_REFERRER_SERVICE', 'RECEIVE', 'INTERNET'})","frozenset({'WAKE_LOCK', 'ACCESS_NETWORK_STATE'})",0.6190476190476191,0.9811320754716982,1.0566037735849056,0.03316326530612246,3.7857142857143073,3,2,5
"frozenset({'BIND_GET_INSTALL_REFERRER_SERVICE', 'RECEIVE', 'INTERNET'})",frozenset({'WAKE_LOCK'}),0.6190476190476191,0.9811320754716982,1.0566037735849056,0.03316326530612246,3.7857142857143073,3,1,4
"frozenset({'BIND_GET_INSTALL_REFERRER_SERVICE', 'RECEIVE'})","frozenset({'WAKE_LOCK', 'INTERNET'})",0.6190476190476191,0.9811320754716982,1.0566037735849056,0.03316326530612246,3.7857142857143073,2,2,4
"frozenset({'BIND_GET_INSTALL_REFERRER_SERVICE', 'RECEIVE', 'ACCESS_NETWORK_STATE'})","frozenset({'WAKE_LOCK', 'INTERNET'})",0.6190476190476191,0.9811320754716982,1.0566037735849056,0.03316326530612246,3.7857142857143073,3,2,5
"frozenset({'BIND_GET_INSTALL_REFERRER_SERVICE', 'RECEIVE'})",frozenset({'WAKE_LOCK'}),0.6190476190476191,0.9811320754716982,1.0566037735849056,0.03316326530612246,3.7857142857143073,2,1,3
"frozenset({'BIND_GET_INSTALL_REFERRER_SERVICE', 'RECEIVE'})","frozenset({'WAKE_LOCK', 'ACCESS_NETWORK_STATE'})",0.6190476190476191,0.9811320754716982,1.0566037735849056,0.03316326530612246,3.7857142857143073,2,2,4
"frozenset({'BIND_GET_INSTALL_REFERRER_SERVICE', 'RECEIVE'})","frozenset({'WAKE_LOCK', 'ACCESS_NETWORK_STATE', 'INTERNET'})",0.6190476190476191,0.9811320754716982,1.0566037735849056,0.03316326530612246,3.7857142857143073,2,3,5
frozenset({'RECEIVE'}),"frozenset({'WAKE_LOCK', 'ACCESS_NETWORK_STATE'})",0.7023809523809523,0.9672131147540983,1.0416141235813365,0.028061224489795866,2.1785714285714253,1,2,3
"frozenset({'RECEIVE', 'ACCESS_NETWORK_STATE'})",frozenset({'WAKE_LOCK'}),0.7023809523809523,0.9672131147540983,1.0416141235813365,0.028061224489795866,2.1785714285714253,2,1,3
"frozenset({'WAKE_LOCK', 'INTERNET'})",frozenset({'RECEIVE'}),0.7023809523809523,0.7564102564102563,1.0416141235813365,0.028061224489795866,1.1240601503759393,2,1,3
"frozenset({'RECEIVE', 'INTERNET'})",frozenset({'WAKE_LOCK'}),0.7023809523809523,0.9672131147540983,1.0416141235813365,0.028061224489795866,2.1785714285714253,2,1,3
"frozenset({'WAKE_LOCK', 'ACCESS_NETWORK_STATE', 'INTERNET'})",frozenset({'RECEIVE'}),0.7023809523809523,0.7564102564102563,1.0416141235813365,0.028061224489795866,1.1240601503759393,3,1,4
frozenset({'WAKE_LOCK'}),"frozenset({'RECEIVE', 'INTERNET'})",0.7023809523809523,0.7564102564102563,1.0416141235813365,0.028061224489795866,1.1240601503759393,1,2,3
frozenset({'RECEIVE'}),"frozenset({'WAKE_LOCK', 'INTERNET'})",0.7023809523809523,0.9672131147540983,1.0416141235813365,0.028061224489795866,2.1785714285714253,1,2,3
frozenset({'WAKE_LOCK'}),"frozenset({'RECEIVE', 'ACCESS_NETWORK_STATE'})",0.7023809523809523,0.7564102564102563,1.0416141235813365,0.028061224489795866,1.1240601503759393,1,2,3
"frozenset({'WAKE_LOCK', 'INTERNET'})","frozenset({'RECEIVE', 'ACCESS_NETWORK_STATE'})",0.7023809523809523,0.7564102564102563,1.0416141235813365,0.028061224489795866,1.1240601503759393,2,2,4
"frozenset({'RECEIVE', 'ACCESS_NETWORK_STATE', 'INTERNET'})",frozenset({'WAKE_LOCK'}),0.7023809523809523,0.9672131147540983,1.0416141235813365,0.028061224489795866,2.1785714285714253,3,1,4
"frozenset({'RECEIVE', 'ACCESS_NETWORK_STATE'})","frozenset({'WAKE_LOCK', 'INTERNET'})",0.7023809523809523,0.9672131147540983,1.0416141235813365,0.028061224489795866,2.1785714285714253,2,2,4
