antecedents,consequents,support,confidence,lift,leverage,conviction,antecedent_len,consequent_len,combo_len
"frozenset({'CWE-919', 'CWE-200'})","frozenset({'CWE-312', 'CWE-532', 'CWE-330', 'CWE-327'})",0.8160919540229885,1.0,1.0740740740740742,0.056282203725723345,inf,2,4,6
"frozenset({'CWE-327', 'CWE-200', 'CWE-919', 'CWE-89', 'CWE-312'})",frozenset({'CWE-532'}),0.8045977011494253,1.0,1.0,0.0,inf,5,1,6
"frozenset({'CWE-200', 'CWE-749', 'CWE-327'})","frozenset({'CWE-312', 'CWE-532', 'CWE-330'})",0.8620689655172413,1.0,1.0740740740740742,0.05945303210463737,inf,3,3,6
"frozenset({'CWE-919', 'CWE-200', 'CWE-327'})","frozenset({'CWE-312', 'CWE-532', 'CWE-330'})",0.8160919540229885,1.0,1.0740740740740742,0.056282203725723345,inf,3,3,6
"frozenset({'CWE-327', 'CWE-200', 'CWE-532', 'CWE-89', 'CWE-749'})",frozenset({'CWE-330'}),0.8505747126436781,1.0,1.0481927710843375,0.03910688333993928,inf,5,1,6
"frozenset({'CWE-330', 'CWE-327', 'CWE-532', 'CWE-919', 'CWE-89'})",frozenset({'CWE-312'}),0.8160919540229885,1.0,1.0357142857142856,0.028141101862861673,inf,5,1,6
"frozenset({'CWE-919', 'CWE-200', 'CWE-89', 'CWE-327'})","frozenset({'CWE-312', 'CWE-532'})",0.8045977011494253,1.0,1.0357142857142856,0.027744748315497336,inf,4,2,6
"frozenset({'CWE-919', 'CWE-200', 'CWE-330', 'CWE-89'})","frozenset({'CWE-312', 'CWE-532'})",0.8045977011494253,1.0,1.0357142857142856,0.027744748315497336,inf,4,2,6
"frozenset({'CWE-327', 'CWE-200', 'CWE-532', 'CWE-919', 'CWE-312'})",frozenset({'CWE-330'}),0.8160919540229885,1.0,1.0481927710843375,0.03752146915048227,inf,5,1,6
"frozenset({'CWE-200', 'CWE-532', 'CWE-89', 'CWE-312', 'CWE-749'})",frozenset({'CWE-330'}),0.8505747126436781,1.0,1.0481927710843375,0.03910688333993928,inf,5,1,6
"frozenset({'CWE-200', 'CWE-749', 'CWE-89'})","frozenset({'CWE-532', 'CWE-330', 'CWE-327'})",0.8505747126436781,1.0,1.0481927710843375,0.03910688333993928,inf,3,3,6
"frozenset({'CWE-330', 'CWE-200', 'CWE-532', 'CWE-919', 'CWE-312'})",frozenset({'CWE-327'}),0.8160919540229885,1.0,1.0,0.0,inf,5,1,6
"frozenset({'CWE-919', 'CWE-200', 'CWE-89'})","frozenset({'CWE-312', 'CWE-330', 'CWE-327'})",0.8045977011494253,1.0,1.0740740740740742,0.055489496630994894,inf,3,3,6
"frozenset({'CWE-330', 'CWE-200', 'CWE-89', 'CWE-312', 'CWE-749'})",frozenset({'CWE-532'}),0.8505747126436781,1.0,1.0,0.0,inf,5,1,6
"frozenset({'CWE-330', 'CWE-327', 'CWE-200', 'CWE-919', 'CWE-312'})",frozenset({'CWE-532'}),0.8160919540229885,1.0,1.0,0.0,inf,5,1,6
"frozenset({'CWE-330', 'CWE-327', 'CWE-200', 'CWE-532', 'CWE-919'})",frozenset({'CWE-312'}),0.8160919540229885,1.0,1.0357142857142856,0.028141101862861673,inf,5,1,6
"frozenset({'CWE-919', 'CWE-200', 'CWE-330', 'CWE-89'})","frozenset({'CWE-532', 'CWE-327'})",0.8045977011494253,1.0,1.0,0.0,inf,4,2,6
"frozenset({'CWE-200', 'CWE-749', 'CWE-89', 'CWE-327'})","frozenset({'CWE-312', 'CWE-532'})",0.8505747126436781,1.0,1.0357142857142856,0.02933016250495435,inf,4,2,6
"frozenset({'CWE-312', 'CWE-919', 'CWE-200', 'CWE-89'})","frozenset({'CWE-532', 'CWE-327'})",0.8045977011494253,1.0,1.0,0.0,inf,4,2,6
"frozenset({'CWE-330', 'CWE-200', 'CWE-532', 'CWE-89', 'CWE-749'})",frozenset({'CWE-312'}),0.8505747126436781,1.0,1.0357142857142856,0.02933016250495435,inf,5,1,6
"frozenset({'CWE-327', 'CWE-200', 'CWE-532', 'CWE-919', 'CWE-89'})",frozenset({'CWE-330'}),0.8045977011494253,1.0,1.0481927710843375,0.03699299775399656,inf,5,1,6
"frozenset({'CWE-312', 'CWE-919', 'CWE-200', 'CWE-89'})","frozenset({'CWE-532', 'CWE-330'})",0.8045977011494253,1.0,1.0481927710843375,0.03699299775399656,inf,4,2,6
"frozenset({'CWE-919', 'CWE-200', 'CWE-330', 'CWE-327'})","frozenset({'CWE-312', 'CWE-532'})",0.8160919540229885,1.0,1.0357142857142856,0.028141101862861673,inf,4,2,6
"frozenset({'CWE-919', 'CWE-200', 'CWE-89', 'CWE-532'})","frozenset({'CWE-312', 'CWE-327'})",0.8045977011494253,1.0,1.0357142857142856,0.027744748315497336,inf,4,2,6
"frozenset({'CWE-200', 'CWE-330', 'CWE-89', 'CWE-749'})","frozenset({'CWE-312', 'CWE-532'})",0.8505747126436781,1.0,1.0357142857142856,0.02933016250495435,inf,4,2,6
"frozenset({'CWE-312', 'CWE-200', 'CWE-749', 'CWE-89'})","frozenset({'CWE-532', 'CWE-330'})",0.8505747126436781,1.0,1.0481927710843375,0.03910688333993928,inf,4,2,6
"frozenset({'CWE-200', 'CWE-749', 'CWE-89', 'CWE-327'})","frozenset({'CWE-312', 'CWE-330'})",0.8505747126436781,1.0,1.0740740740740742,0.05866032500990881,inf,4,2,6
"frozenset({'CWE-919', 'CWE-200', 'CWE-330'})","frozenset({'CWE-312', 'CWE-532', 'CWE-327'})",0.8160919540229885,1.0,1.0357142857142856,0.028141101862861673,inf,3,3,6
"frozenset({'CWE-200', 'CWE-330', 'CWE-89', 'CWE-749'})","frozenset({'CWE-532', 'CWE-327'})",0.8505747126436781,1.0,1.0,0.0,inf,4,2,6
"frozenset({'CWE-200', 'CWE-749', 'CWE-89'})","frozenset({'CWE-312', 'CWE-330', 'CWE-327'})",0.8505747126436781,1.0,1.0740740740740742,0.05866032500990881,inf,3,3,6
"frozenset({'CWE-330', 'CWE-200', 'CWE-919', 'CWE-89', 'CWE-312'})",frozenset({'CWE-327'}),0.8045977011494253,1.0,1.0,0.0,inf,5,1,6
"frozenset({'CWE-200', 'CWE-749', 'CWE-89', 'CWE-327'})","frozenset({'CWE-532', 'CWE-330'})",0.8505747126436781,1.0,1.0481927710843375,0.03910688333993928,inf,4,2,6
"frozenset({'CWE-200', 'CWE-749', 'CWE-89', 'CWE-532'})","frozenset({'CWE-330', 'CWE-327'})",0.8505747126436781,1.0,1.0481927710843375,0.03910688333993928,inf,4,2,6
"frozenset({'CWE-919', 'CWE-200', 'CWE-330', 'CWE-532'})","frozenset({'CWE-312', 'CWE-327'})",0.8160919540229885,1.0,1.0357142857142856,0.028141101862861673,inf,4,2,6
"frozenset({'CWE-312', 'CWE-919', 'CWE-200', 'CWE-532'})","frozenset({'CWE-330', 'CWE-327'})",0.8160919540229885,1.0,1.0481927710843375,0.03752146915048227,inf,4,2,6
"frozenset({'CWE-200', 'CWE-749', 'CWE-89', 'CWE-532'})","frozenset({'CWE-312', 'CWE-330'})",0.8505747126436781,1.0,1.0740740740740742,0.05866032500990881,inf,4,2,6
"frozenset({'CWE-312', 'CWE-919', 'CWE-200', 'CWE-327'})","frozenset({'CWE-532', 'CWE-330'})",0.8160919540229885,1.0,1.0481927710843375,0.03752146915048227,inf,4,2,6
"frozenset({'CWE-200', 'CWE-749', 'CWE-89', 'CWE-532'})","frozenset({'CWE-312', 'CWE-327'})",0.8505747126436781,1.0,1.0357142857142856,0.02933016250495435,inf,4,2,6
"frozenset({'CWE-330', 'CWE-327', 'CWE-200', 'CWE-919', 'CWE-89'})",frozenset({'CWE-312'}),0.8045977011494253,1.0,1.0357142857142856,0.027744748315497336,inf,5,1,6
"frozenset({'CWE-312', 'CWE-919', 'CWE-200', 'CWE-330'})","frozenset({'CWE-532', 'CWE-327'})",0.8160919540229885,1.0,1.0,0.0,inf,4,2,6
"frozenset({'CWE-200', 'CWE-330', 'CWE-749', 'CWE-532'})","frozenset({'CWE-312', 'CWE-327'})",0.8620689655172413,1.0,1.0357142857142856,0.029726516052318686,inf,4,2,6
"frozenset({'CWE-919', 'CWE-200', 'CWE-330', 'CWE-89'})","frozenset({'CWE-312', 'CWE-327'})",0.8045977011494253,1.0,1.0357142857142856,0.027744748315497336,inf,4,2,6
"frozenset({'CWE-330', 'CWE-327', 'CWE-200', 'CWE-89', 'CWE-312'})",frozenset({'CWE-532'}),0.8620689655172413,1.0,1.0,0.0,inf,5,1,6
"frozenset({'CWE-312', 'CWE-919', 'CWE-330', 'CWE-89'})","frozenset({'CWE-532', 'CWE-327'})",0.8160919540229885,1.0,1.0,0.0,inf,4,2,6
"frozenset({'CWE-330', 'CWE-327', 'CWE-200', 'CWE-89', 'CWE-749'})",frozenset({'CWE-312'}),0.8505747126436781,1.0,1.0357142857142856,0.02933016250495435,inf,5,1,6
"frozenset({'CWE-312', 'CWE-919', 'CWE-89', 'CWE-327'})","frozenset({'CWE-532', 'CWE-330'})",0.8160919540229885,1.0,1.0481927710843375,0.03752146915048227,inf,4,2,6
"frozenset({'CWE-312', 'CWE-919', 'CWE-532', 'CWE-89'})","frozenset({'CWE-330', 'CWE-327'})",0.8160919540229885,1.0,1.0481927710843375,0.03752146915048227,inf,4,2,6
"frozenset({'CWE-200', 'CWE-532', 'CWE-919', 'CWE-89', 'CWE-312'})",frozenset({'CWE-330'}),0.8045977011494253,1.0,1.0481927710843375,0.03699299775399656,inf,5,1,6
"frozenset({'CWE-312', 'CWE-749', 'CWE-89'})","frozenset({'CWE-532', 'CWE-330', 'CWE-327'})",0.8735632183908046,1.0,1.0481927710843375,0.040163826132910585,inf,3,3,6
"frozenset({'CWE-330', 'CWE-327', 'CWE-919', 'CWE-89', 'CWE-312'})",frozenset({'CWE-532'}),0.8160919540229885,1.0,1.0,0.0,inf,5,1,6
"frozenset({'CWE-749', 'CWE-89', 'CWE-327'})","frozenset({'CWE-312', 'CWE-532', 'CWE-330'})",0.8735632183908046,1.0,1.0740740740740742,0.06024573919936582,inf,3,3,6
"frozenset({'CWE-330', 'CWE-200', 'CWE-89', 'CWE-312', 'CWE-749'})",frozenset({'CWE-327'}),0.8505747126436781,1.0,1.0,0.0,inf,5,1,6
"frozenset({'CWE-919', 'CWE-330', 'CWE-89'})","frozenset({'CWE-312', 'CWE-532', 'CWE-327'})",0.8160919540229885,1.0,1.0357142857142856,0.028141101862861673,inf,3,3,6
"frozenset({'CWE-327', 'CWE-200', 'CWE-89', 'CWE-312', 'CWE-749'})",frozenset({'CWE-330'}),0.8505747126436781,1.0,1.0481927710843375,0.03910688333993928,inf,5,1,6
"frozenset({'CWE-749', 'CWE-330', 'CWE-89'})","frozenset({'CWE-312', 'CWE-532', 'CWE-327'})",0.8735632183908046,1.0,1.0357142857142856,0.03012286959968291,inf,3,3,6
"frozenset({'CWE-919', 'CWE-89'})","frozenset({'CWE-312', 'CWE-532', 'CWE-330', 'CWE-327'})",0.8160919540229885,1.0,1.0740740740740742,0.056282203725723345,inf,2,4,6
"frozenset({'CWE-919', 'CWE-89', 'CWE-327'})","frozenset({'CWE-312', 'CWE-532', 'CWE-330'})",0.8160919540229885,1.0,1.0740740740740742,0.056282203725723345,inf,3,3,6
"frozenset({'CWE-312', 'CWE-919', 'CWE-200', 'CWE-89'})","frozenset({'CWE-330', 'CWE-327'})",0.8045977011494253,1.0,1.0481927710843375,0.03699299775399656,inf,4,2,6
"frozenset({'CWE-312', 'CWE-532', 'CWE-749', 'CWE-89'})","frozenset({'CWE-330', 'CWE-327'})",0.8735632183908046,1.0,1.0481927710843375,0.040163826132910585,inf,4,2,6
"frozenset({'CWE-312', 'CWE-749', 'CWE-89', 'CWE-327'})","frozenset({'CWE-532', 'CWE-330'})",0.8735632183908046,1.0,1.0481927710843375,0.040163826132910585,inf,4,2,6
"frozenset({'CWE-919', 'CWE-532', 'CWE-89'})","frozenset({'CWE-312', 'CWE-330', 'CWE-327'})",0.8160919540229885,1.0,1.0740740740740742,0.056282203725723345,inf,3,3,6
"frozenset({'CWE-532', 'CWE-749', 'CWE-89', 'CWE-327'})","frozenset({'CWE-312', 'CWE-330'})",0.8735632183908046,1.0,1.0740740740740742,0.06024573919936582,inf,4,2,6
"frozenset({'CWE-312', 'CWE-749', 'CWE-330', 'CWE-89'})","frozenset({'CWE-532', 'CWE-327'})",0.8735632183908046,1.0,1.0,0.0,inf,4,2,6
"frozenset({'CWE-532', 'CWE-330', 'CWE-89', 'CWE-749'})","frozenset({'CWE-312', 'CWE-327'})",0.8735632183908046,1.0,1.0357142857142856,0.03012286959968291,inf,4,2,6
"frozenset({'CWE-312', 'CWE-919', 'CWE-89'})","frozenset({'CWE-532', 'CWE-330', 'CWE-327'})",0.8160919540229885,1.0,1.0481927710843375,0.03752146915048227,inf,3,3,6
"frozenset({'CWE-200', 'CWE-330', 'CWE-89', 'CWE-749'})","frozenset({'CWE-312', 'CWE-327'})",0.8505747126436781,1.0,1.0357142857142856,0.02933016250495435,inf,4,2,6
"frozenset({'CWE-749', 'CWE-330', 'CWE-89', 'CWE-327'})","frozenset({'CWE-312', 'CWE-532'})",0.8735632183908046,1.0,1.0357142857142856,0.03012286959968291,inf,4,2,6
"frozenset({'CWE-327', 'CWE-532', 'CWE-89', 'CWE-312', 'CWE-749'})",frozenset({'CWE-330'}),0.8735632183908046,1.0,1.0481927710843375,0.040163826132910585,inf,5,1,6
"frozenset({'CWE-330', 'CWE-532', 'CWE-89', 'CWE-312', 'CWE-749'})",frozenset({'CWE-327'}),0.8735632183908046,1.0,1.0,0.0,inf,5,1,6
"frozenset({'CWE-330', 'CWE-327', 'CWE-89', 'CWE-312', 'CWE-749'})",frozenset({'CWE-532'}),0.8735632183908046,1.0,1.0,0.0,inf,5,1,6
"frozenset({'CWE-200', 'CWE-749', 'CWE-89'})","frozenset({'CWE-312', 'CWE-532', 'CWE-327'})",0.8505747126436781,1.0,1.0357142857142856,0.02933016250495435,inf,3,3,6
"frozenset({'CWE-919', 'CWE-532', 'CWE-89', 'CWE-327'})","frozenset({'CWE-312', 'CWE-330'})",0.8160919540229885,1.0,1.0740740740740742,0.056282203725723345,inf,4,2,6
"frozenset({'CWE-532', 'CWE-749', 'CWE-89'})","frozenset({'CWE-312', 'CWE-330', 'CWE-327'})",0.8735632183908046,1.0,1.0740740740740742,0.06024573919936582,inf,3,3,6
"frozenset({'CWE-327', 'CWE-200', 'CWE-532', 'CWE-312', 'CWE-749'})",frozenset({'CWE-330'}),0.8620689655172413,1.0,1.0481927710843375,0.03963535473642499,inf,5,1,6
"frozenset({'CWE-919', 'CWE-532', 'CWE-330', 'CWE-89'})","frozenset({'CWE-312', 'CWE-327'})",0.8160919540229885,1.0,1.0357142857142856,0.028141101862861673,inf,4,2,6
"frozenset({'CWE-919', 'CWE-200', 'CWE-89', 'CWE-327'})","frozenset({'CWE-312', 'CWE-330'})",0.8045977011494253,1.0,1.0740740740740742,0.055489496630994894,inf,4,2,6
"frozenset({'CWE-330', 'CWE-327', 'CWE-200', 'CWE-532', 'CWE-749'})",frozenset({'CWE-312'}),0.8620689655172413,1.0,1.0357142857142856,0.029726516052318686,inf,5,1,6
"frozenset({'CWE-330', 'CWE-327', 'CWE-200', 'CWE-312', 'CWE-749'})",frozenset({'CWE-532'}),0.8620689655172413,1.0,1.0,0.0,inf,5,1,6
"frozenset({'CWE-330', 'CWE-200', 'CWE-532', 'CWE-919', 'CWE-89'})",frozenset({'CWE-312'}),0.8045977011494253,1.0,1.0357142857142856,0.027744748315497336,inf,5,1,6
"frozenset({'CWE-330', 'CWE-327', 'CWE-200', 'CWE-919', 'CWE-89'})",frozenset({'CWE-532'}),0.8045977011494253,1.0,1.0,0.0,inf,5,1,6
"frozenset({'CWE-330', 'CWE-200', 'CWE-532', 'CWE-312', 'CWE-749'})",frozenset({'CWE-327'}),0.8620689655172413,1.0,1.0,0.0,inf,5,1,6
"frozenset({'CWE-749', 'CWE-89'})","frozenset({'CWE-312', 'CWE-532', 'CWE-330', 'CWE-327'})",0.8735632183908046,1.0,1.0740740740740742,0.06024573919936582,inf,2,4,6
"frozenset({'CWE-919', 'CWE-330', 'CWE-89', 'CWE-327'})","frozenset({'CWE-312', 'CWE-532'})",0.8160919540229885,1.0,1.0357142857142856,0.028141101862861673,inf,4,2,6
"frozenset({'CWE-312', 'CWE-200', 'CWE-749', 'CWE-89'})","frozenset({'CWE-330', 'CWE-327'})",0.8505747126436781,1.0,1.0481927710843375,0.03910688333993928,inf,4,2,6
"frozenset({'CWE-330', 'CWE-532', 'CWE-919', 'CWE-89', 'CWE-312'})",frozenset({'CWE-327'}),0.8160919540229885,1.0,1.0,0.0,inf,5,1,6
"frozenset({'CWE-327', 'CWE-532', 'CWE-919', 'CWE-89', 'CWE-312'})",frozenset({'CWE-330'}),0.8160919540229885,1.0,1.0481927710843375,0.03752146915048227,inf,5,1,6
"frozenset({'CWE-200', 'CWE-330', 'CWE-749', 'CWE-327'})","frozenset({'CWE-312', 'CWE-532'})",0.8620689655172413,1.0,1.0357142857142856,0.029726516052318686,inf,4,2,6
"frozenset({'CWE-200', 'CWE-749'})","frozenset({'CWE-312', 'CWE-532', 'CWE-330', 'CWE-89'})",0.8505747126436781,0.9866666666666667,1.1005128205128205,0.07768529528339274,7.758620689655186,2,4,6
"frozenset({'CWE-200', 'CWE-749'})","frozenset({'CWE-312', 'CWE-330', 'CWE-89', 'CWE-327'})",0.8505747126436781,0.9866666666666667,1.1005128205128205,0.07768529528339274,7.758620689655186,2,4,6
"frozenset({'CWE-200', 'CWE-749', 'CWE-327'})","frozenset({'CWE-312', 'CWE-330', 'CWE-89'})",0.8505747126436781,0.9866666666666667,1.1005128205128205,0.07768529528339274,7.758620689655186,3,3,6
"frozenset({'CWE-200', 'CWE-749', 'CWE-532'})","frozenset({'CWE-312', 'CWE-330', 'CWE-89'})",0.8505747126436781,0.9866666666666667,1.1005128205128205,0.07768529528339274,7.758620689655186,3,3,6
frozenset({'CWE-919'}),"frozenset({'CWE-330', 'CWE-327', 'CWE-200', 'CWE-532', 'CWE-312'})",0.8160919540229885,0.9861111111111112,1.0998931623931625,0.0741181133571146,7.448275862068991,1,5,6
"frozenset({'CWE-919', 'CWE-532', 'CWE-327'})","frozenset({'CWE-312', 'CWE-200', 'CWE-330'})",0.8160919540229885,0.9861111111111112,1.0998931623931625,0.0741181133571146,7.448275862068991,3,3,6
"frozenset({'CWE-919', 'CWE-327'})","frozenset({'CWE-312', 'CWE-200', 'CWE-330', 'CWE-532'})",0.8160919540229885,0.9861111111111112,1.0998931623931625,0.0741181133571146,7.448275862068991,2,4,6
frozenset({'CWE-919'}),"frozenset({'CWE-330', 'CWE-327', 'CWE-532', 'CWE-89', 'CWE-312'})",0.8160919540229885,0.9861111111111112,1.0998931623931625,0.0741181133571146,7.448275862068991,1,5,6
"frozenset({'CWE-919', 'CWE-327'})","frozenset({'CWE-312', 'CWE-532', 'CWE-330', 'CWE-89'})",0.8160919540229885,0.9861111111111112,1.0998931623931625,0.0741181133571146,7.448275862068991,2,4,6
"frozenset({'CWE-919', 'CWE-532'})","frozenset({'CWE-312', 'CWE-330', 'CWE-89', 'CWE-327'})",0.8160919540229885,0.9861111111111112,1.0998931623931625,0.0741181133571146,7.448275862068991,2,4,6
"frozenset({'CWE-919', 'CWE-532'})","frozenset({'CWE-312', 'CWE-200', 'CWE-330', 'CWE-327'})",0.8160919540229885,0.9861111111111112,1.0998931623931625,0.0741181133571146,7.448275862068991,2,4,6
"frozenset({'CWE-919', 'CWE-532', 'CWE-327'})","frozenset({'CWE-312', 'CWE-330', 'CWE-89'})",0.8160919540229885,0.9861111111111112,1.0998931623931625,0.0741181133571146,7.448275862068991,3,3,6
"frozenset({'CWE-919', 'CWE-200'})","frozenset({'CWE-312', 'CWE-532', 'CWE-330', 'CWE-89'})",0.8045977011494253,0.9859154929577465,1.0996749729144095,0.07292905271502181,7.344827586206906,2,4,6
"frozenset({'CWE-919', 'CWE-200', 'CWE-532'})","frozenset({'CWE-312', 'CWE-330', 'CWE-89'})",0.8045977011494253,0.9859154929577465,1.0996749729144095,0.07292905271502181,7.344827586206906,3,3,6
"frozenset({'CWE-919', 'CWE-89'})","frozenset({'CWE-312', 'CWE-200', 'CWE-330', 'CWE-532'})",0.8045977011494253,0.9859154929577465,1.0996749729144095,0.07292905271502181,7.344827586206906,2,4,6
"frozenset({'CWE-919', 'CWE-200'})","frozenset({'CWE-312', 'CWE-330', 'CWE-89', 'CWE-327'})",0.8045977011494253,0.9859154929577465,1.0996749729144095,0.07292905271502181,7.344827586206906,2,4,6
"frozenset({'CWE-919', 'CWE-89', 'CWE-327'})","frozenset({'CWE-312', 'CWE-200', 'CWE-330'})",0.8045977011494253,0.9859154929577465,1.0996749729144095,0.07292905271502181,7.344827586206906,3,3,6
"frozenset({'CWE-919', 'CWE-89'})","frozenset({'CWE-312', 'CWE-200', 'CWE-330', 'CWE-327'})",0.8045977011494253,0.9859154929577465,1.0996749729144095,0.07292905271502181,7.344827586206906,2,4,6
"frozenset({'CWE-919', 'CWE-532', 'CWE-89'})","frozenset({'CWE-312', 'CWE-200', 'CWE-330'})",0.8045977011494253,0.9859154929577465,1.0996749729144095,0.07292905271502181,7.344827586206906,3,3,6
